ISO country code,Country,Sub-national region,World region,MPI National,MPI Regional,Headcount Ratio Regional,Intensity of deprivation Regional,lat,lng
SDN,Sudan,South Kordofan,Arab States,0.287,0.422,72.8,57.9,11.1990192,29.4179324
SDN,Sudan,West Darfor,Arab States,0.287,0.458,78.6,58.3,12.8463561,23.0011989
SDN,Sudan,West Kordofan,Arab States,0.287,0.468,80.6,58.1,,
SDN,Sudan,White Nile,Arab States,0.287,0.267,51.7,51.6,13.2403881,32.5372741
SEN,Senegal,Center,Sub-Saharan Africa,0.331,0.449,78.1,57.6,14.72001,-17.465533
SEN,Senegal,North,Sub-Saharan Africa,0.331,0.373,65.1,57.3,14.497401,-14.452362
SEN,Senegal,Ouest,Sub-Saharan Africa,0.331,0.156,31.4,49.6,14.497401,-14.452362
SEN,Senegal,South,Sub-Saharan Africa,0.331,0.425,74.1,57.3,14.497401,-14.452362
SLE,Sierra Leone,Kailahun,Sub-Saharan Africa,0.464,0.537,89.1,60.3,8.0799992,-10.7097867
SLE,Sierra Leone,Kenema,Sub-Saharan Africa,0.464,0.477,84.5,56.5,7.863214699999999,-11.1957172
SLE,Sierra Leone,Kono,Sub-Saharan Africa,0.464,0.511,88.5,57.7,8.7663285,-10.8903099
SLE,Sierra Leone,Bombali,Sub-Saharan Africa,0.464,0.423,78.7,53.8,9.2475837,-12.1632718
SLE,Sierra Leone,Kambia,Sub-Saharan Africa,0.464,0.58,94.3,61.5,9.126166399999999,-12.9176518
SLE,Sierra Leone,Koinadugu,Sub-Saharan Africa,0.464,0.601,93.9,64.1,9.5308619,-11.5248055
SLE,Sierra Leone,Port Loko,Sub-Saharan Africa,0.464,0.522,89.9,58.0,8.768688599999999,-12.7853522
SLE,Sierra Leone,Tonkolili,Sub-Saharan Africa,0.464,0.541,88.9,60.9,8.7389416,-11.7979613
SLE,Sierra Leone,Bo,Sub-Saharan Africa,0.464,0.449,80.1,56.1,7.9551791,-11.7409946
SLE,Sierra Leone,Bonthe,Sub-Saharan Africa,0.464,0.478,85.8,55.7,7.525702799999999,-12.5039922
SLE,Sierra Leone,Moyamba,Sub-Saharan Africa,0.464,0.569,94.6,60.2,8.1620514,-12.4351923
SLE,Sierra Leone,Pujehun,Sub-Saharan Africa,0.464,0.537,91.5,58.7,7.3562993,-11.7210635
SLE,Sierra Leone,Western Rural,Sub-Saharan Africa,0.464,0.319,67.7,47.1,8.3114983,-13.035694
SLE,Sierra Leone,Western Urban,Sub-Saharan Africa,0.464,0.191,41.5,46.1,8.4545561,-13.2432632
SLV,El Salvador,Ahuachapan,Latin America and Caribbean,0.026,0.03,7.4,40.2,13.8216148,-89.9253233
SLV,El Salvador,Cabanas,Latin America and Caribbean,0.026,0.046,11.6,39.8,13.8648288,-88.7493998
SLV,El Salvador,Chalatenango,Latin America and Caribbean,0.026,0.036000000000000004,8.7,41.7,14.0164187,-88.91264489999999
SLV,El Salvador,Cuscatlan,Latin America and Caribbean,0.026,0.025,5.6,44.6,13.8661957,-89.0561532
SLV,El Salvador,La Libertad,Latin America and Caribbean,0.026,0.017,4.0,41.6,13.490697,-89.3084607
SLV,El Salvador,La Paz,Latin America and Caribbean,0.026,0.03,7.3,41.0,13.495364,-88.9796776
SLV,El Salvador,La Union,Latin America and Caribbean,0.026,0.054000000000000006,13.0,41.9,13.3323464,-87.8500644
SLV,El Salvador,Morazan,Latin America and Caribbean,0.026,0.04,10.5,38.4,13.7682,-88.1291387
SLV,El Salvador,San Miguel,Latin America and Caribbean,0.026,0.03,7.1,41.6,13.4792922,-88.1779182
SLV,El Salvador,San Salvador,Latin America and Caribbean,0.026,0.01,2.6,40.3,13.6929403,-89.2181911
SLV,El Salvador,San Vicente,Latin America and Caribbean,0.026,0.02,5.5,36.9,13.6390979,-88.7830612
SLV,El Salvador,Santa Ana,Latin America and Caribbean,0.026,0.027000000000000003,6.1,43.7,13.9778279,-89.56391190000001
SLV,El Salvador,Sonsonate,Latin America and Caribbean,0.026,0.046,10.5,43.8,13.7113876,-89.72390970000001
SLV,El Salvador,Usulutan,Latin America and Caribbean,0.026,0.03,7.3,40.9,13.3453114,-88.4428112
SSD,South Sudan,Upper Nile,Sub-Saharan Africa,0.557,0.503,86.3,58.3,9.8894202,32.7181375
SSD,South Sudan,Jonglei and Unity,Sub-Saharan Africa,0.557,0.628,97.5,64.4,,
SSD,South Sudan,Warap,Sub-Saharan Africa,0.557,0.6609999999999999,98.7,67.0,8.2209308,28.8596804
SSD,South Sudan,Northern Bahr el Ghazal,Sub-Saharan Africa,0.557,0.652,97.4,66.9,8.536044900000002,26.7967849
SSD,South Sudan,Western Bahr el Ghazal,Sub-Saharan Africa,0.557,0.491,84.9,57.9,8.6452399,25.2837585
SSD,South Sudan,Lakes,Sub-Saharan Africa,0.557,0.605,96.9,62.5,6.6030799,29.9740534
SSD,South Sudan,Western Equatoria,Sub-Saharan Africa,0.557,0.456,85.2,53.5,5.3471799,28.299435
SSD,South Sudan,Central Equatoria,Sub-Saharan Africa,0.557,0.391,75.6,51.7,4.6144063,31.2626366
SSD,South Sudan,Eastern Equatoria,Sub-Saharan Africa,0.557,0.561,92.5,60.7,5.0692995,33.438353
STP,Sao Tome and Principe,Regiao Autonoma de Principe,Sub-Saharan Africa,0.081,0.092,22.3,41.5,1.6139381,7.4056928
STP,Sao Tome and Principe,Regiao Centro Este,Sub-Saharan Africa,0.081,0.059,14.3,41.3,0.18636,6.613080999999999
STP,Sao Tome and Principe,Regiao Norte Oeste,Sub-Saharan Africa,0.081,0.132,29.7,44.3,-12.9086972,-38.4434722
STP,Sao Tome and Principe,Regiao Sul Este,Sub-Saharan Africa,0.081,0.117,28.2,41.4,,
SUR,Suriname,Paramaribo,Latin America and Caribbean,0.024,0.006999999999999999,1.9,35.5,5.8520355,-55.2038278
SUR,Suriname,Wanica,Latin America and Caribbean,0.024,0.013,3.5,38.8,5.7323762,-55.2701235
SUR,Suriname,Nickerie,Latin America and Caribbean,0.024,0.012,3.4,34.9,5.5855469,-56.83111169999999
SUR,Suriname,Coronie,Latin America and Caribbean,0.024,0.006,1.7,33.3,5.6943271,-56.2929381
SUR,Suriname,Saramacca,Latin America and Caribbean,0.024,0.011,2.8,39.4,5.7240813,-55.6689636
SUR,Suriname,Commewijne,Latin America and Caribbean,0.024,0.008,2.3,35.3,5.740211,-54.8731219
SUR,Suriname,Marowijne,Latin America and Caribbean,0.024,0.026,6.7,39.3,5.6268128,-54.25931180000001
SUR,Suriname,Para,Latin America and Caribbean,0.024,0.023,6.0,38.4,5.481731799999999,-55.2259207
SUR,Suriname,Brokopondo,Latin America and Caribbean,0.024,0.057,14.5,39.2,4.752409099999999,-55.0272904
SUR,Suriname,Sipaliwini,Latin America and Caribbean,0.024,0.172,38.9,44.1,3.6567382,-56.2035387
SWZ,Swaziland,Hhohho,Sub-Saharan Africa,0.066,0.054000000000000006,12.8,42.0,-26.1365662,31.3541631
SWZ,Swaziland,Lubombo,Sub-Saharan Africa,0.066,0.098,22.7,43.1,-26.7851773,31.8107079
SWZ,Swaziland,Manzini,Sub-Saharan Africa,0.066,0.041,10.2,39.9,-26.5081999,31.3713164
SWZ,Swaziland,Shiselweni,Sub-Saharan Africa,0.066,0.101,24.7,41.0,-26.9827577,31.3541631
SYR,Syrian Arab Republic,Damascus,Arab States,0.016,0.003,0.8,34.1,33.5138073,36.2765279
SYR,Syrian Arab Republic,Halab,Arab States,0.016,0.026,7.1,37.1,36.2021047,37.1342603
SYR,Syrian Arab Republic,Rural Damascus,Arab States,0.016,0.009000000000000001,2.2,40.2,33.5167289,36.954107
SYR,Syrian Arab Republic,Hums,Arab States,0.016,0.006999999999999999,2.1,34.5,34.2567123,38.3165725
SYR,Syrian Arab Republic,Hama,Arab States,0.016,0.01,2.9,34.8,35.1408881,36.7551993
SYR,Syrian Arab Republic,Latequia,Arab States,0.016,0.004,1.1,38.3,35.5407103,35.7952667
SYR,Syrian Arab Republic,Edlb,Arab States,0.016,0.019,5.3,35.9,,
SYR,Syrian Arab Republic,Hasaka,Arab States,0.016,0.028,7.2,38.6,36.507867,40.7462671
SYR,Syrian Arab Republic,Dir Ezor,Arab States,0.016,0.047,12.0,39.2,35.3296518,40.1350341
SYR,Syrian Arab Republic,Tortous,Arab States,0.016,0.0,0.1,33.3,,
SYR,Syrian Arab Republic,Raqa,Arab States,0.016,0.028,7.4,37.6,35.9594106,38.9981052
SYR,Syrian Arab Republic,Daraa,Arab States,0.016,0.011,3.0,35.7,32.626434,36.1033061
SYR,Syrian Arab Republic,As-swidaa,Arab States,0.016,0.002,0.6,35.1,32.7128968,36.5662858
SYR,Syrian Arab Republic,Qonitara,Arab States,0.016,0.011,2.9,37.1,,
TCD,Chad,Barh El Gazal,Sub-Saharan Africa,0.552,0.654,95.7,68.3,14.7702266,16.912251
TCD,Chad,Batha,Sub-Saharan Africa,0.552,0.659,95.7,68.8,13.9371775,18.4276047
TCD,Chad,Borkou/Tibesti,Sub-Saharan Africa,0.552,0.537,89.0,60.4,21.3650031,16.912251
TCD,Chad,Chari Baguirmi,Sub-Saharan Africa,0.552,0.6459999999999999,96.9,66.7,11.2564207,16.1580937
TCD,Chad,Ennedi,Sub-Saharan Africa,0.552,0.625,96.8,64.6,17.5414578,21.8568586
TCD,Chad,GuðRa,Sub-Saharan Africa,0.552,0.643,95.4,67.4,,
TCD,Chad,Hadjer-Lamis,Sub-Saharan Africa,0.552,0.654,95.4,68.6,12.4577273,16.7234639
TCD,Chad,Kanem,Sub-Saharan Africa,0.552,0.696,98.5,70.7,14.8781262,15.4068079
TCD,Chad,Lac,Sub-Saharan Africa,0.552,0.7440000000000001,98.1,75.9,13.6915377,14.1001326
TCD,Chad,Logone Occidental,Sub-Saharan Africa,0.552,0.44,79.1,55.6,8.759675999999999,15.876004
TCD,Chad,Logone Oriental,Sub-Saharan Africa,0.552,0.504,86.3,58.4,8.3149949,16.3463791
TCD,Chad,Mandoul,Sub-Saharan Africa,0.552,0.529,88.1,60.0,8.603091,17.4795173
TCD,Chad,Mayo Kebbi Est,Sub-Saharan Africa,0.552,0.509,86.1,59.2,9.4046039,14.8454619
TCD,Chad,Mayo Kebbi Ouest,Sub-Saharan Africa,0.552,0.479,85.0,56.3,10.4113014,15.5943388
TCD,Chad,Moyen Chari,Sub-Saharan Africa,0.552,0.411,74.1,55.5,9.0639998,18.4276047
TCD,Chad,N'DjamðNa,Sub-Saharan Africa,0.552,0.257,52.7,48.7,,
TCD,Chad,Ouaddað,Sub-Saharan Africa,0.552,0.6829999999999999,95.3,71.7,,
TCD,Chad,Salamat,Sub-Saharan Africa,0.552,0.6779999999999999,97.8,69.4,10.9691601,20.7122465
TCD,Chad,Sila,Sub-Saharan Africa,0.552,0.6970000000000001,98.9,70.4,12.13074,21.2845025
TCD,Chad,Tandjilð,Sub-Saharan Africa,0.552,0.487,84.3,57.7,,
TCD,Chad,Wadi Fira,Sub-Saharan Africa,0.552,0.7090000000000001,99.0,71.6,15.0892416,21.4752851
TGO,Togo,Commune de Lome,Sub-Saharan Africa,0.252,0.067,16.4,40.8,6.1724969,1.2313618
TGO,Togo,Region Maritime,Sub-Saharan Africa,0.252,0.243,50.9,47.6,6.4913504,1.2891036
TGO,Togo,Region des Plateaux,Sub-Saharan Africa,0.252,0.325,62.7,51.8,7.6101378,1.0586135
TGO,Togo,Region Centrale,Sub-Saharan Africa,0.252,0.236,52.5,44.9,8.6586029,1.0586135
TGO,Togo,Region de la Kara,Sub-Saharan Africa,0.252,0.324,63.3,51.3,9.7216393,1.0586135
TGO,Togo,Region des Savanes,Sub-Saharan Africa,0.252,0.439,76.9,57.1,10.5291781,0.5257822999999999
TJK,Tajikistan,Dushanbe,Europe and Central Asia,0.054000000000000006,0.021,6.1,34.5,38.5597722,68.7870384
TJK,Tajikistan,Gorno-Badakhshan Autonomous Oblast,Europe and Central Asia,0.054000000000000006,0.048,12.1,40.0,38.412732,73.087749
TJK,Tajikistan,Sughd,Europe and Central Asia,0.054000000000000006,0.033,8.1,41.2,39.5155326,69.097023
TJK,Tajikistan,Districts of Republican Subordination,Europe and Central Asia,0.054000000000000006,0.045,11.4,39.2,39.0857902,70.2408325
TJK,Tajikistan,Khatlon,Europe and Central Asia,0.054000000000000006,0.086,20.5,41.7,37.9113562,69.097023
TLS,Timor-Leste,Aileu,East Asia and the Pacific,0.36,0.379,73.0,51.9,-8.722408399999999,125.5712576
TLS,Timor-Leste,Ainaro,East Asia and the Pacific,0.36,0.444,79.7,55.7,-9.0113171,125.5220012
TLS,Timor-Leste,Baucau,East Asia and the Pacific,0.36,0.35700000000000004,71.3,50.0,-8.4731006,126.4553727
TLS,Timor-Leste,Bobonaro,East Asia and the Pacific,0.36,0.406,75.9,53.5,-8.9655406,125.2587964
TLS,Timor-Leste,Cova Lima,East Asia and the Pacific,0.36,0.31,62.1,49.9,-9.2650375,125.2587964
TLS,Timor-Leste,Dili,East Asia and the Pacific,0.36,0.127,28.6,44.3,-8.5568557,125.5603143
TLS,Timor-Leste,Ermera,East Asia and the Pacific,0.36,0.4970000000000001,87.0,57.2,-8.806888299999999,125.3466253
TLS,Timor-Leste,Liquica,East Asia and the Pacific,0.36,0.387,70.0,55.3,-8.5891214,125.3411388
TLS,Timor-Leste,Lautem,East Asia and the Pacific,0.36,0.373,73.1,51.0,-8.5531846,126.9970831
TLS,Timor-Leste,Manufahi,East Asia and the Pacific,0.36,0.353,68.4,51.6,-9.0145495,125.8279959
TLS,Timor-Leste,Manatuto,East Asia and the Pacific,0.36,0.295,60.6,48.7,-8.5155608,126.0159255
TLS,Timor-Leste,Oecussi,East Asia and the Pacific,0.36,0.508,86.2,58.9,-9.2970576,124.2866091
TLS,Timor-Leste,Viqueque,East Asia and the Pacific,0.36,0.41,79.0,51.9,-8.8597918,126.3633516
TTO,Trinidad and Tobago,North West,Latin America and Caribbean,0.02,0.023,6.4,35.2,10.691803,-61.222503
TTO,Trinidad and Tobago,Eastern,Latin America and Caribbean,0.02,0.026,7.2,35.9,10.3757217,-61.23355919999999
TTO,Trinidad and Tobago,North Central,Latin America and Caribbean,0.02,0.02,5.7,34.4,10.691803,-61.222503
TTO,Trinidad and Tobago,South West,Latin America and Caribbean,0.02,0.016,4.3,36.2,10.175269,-61.465587
TTO,Trinidad and Tobago,Tobago,Latin America and Caribbean,0.02,0.019,5.4,34.3,11.2336911,-60.69889089999999
TZA,"Tanzania, United Republic of",Central,Sub-Saharan Africa,0.284,0.332,66.1,50.2,-6.369028,34.888822
TZA,"Tanzania, United Republic of",Eastern,Sub-Saharan Africa,0.284,0.145,31.7,45.6,-6.369028,34.888822
TZA,"Tanzania, United Republic of",Lake,Sub-Saharan Africa,0.284,0.34600000000000003,66.7,51.9,-6.2555679,29.5107708
TZA,"Tanzania, United Republic of",Northern,Sub-Saharan Africa,0.284,0.2,41.6,48.0,40.7566997,-73.9664629
TZA,"Tanzania, United Republic of",South West Highlands,Sub-Saharan Africa,0.284,0.312,64.2,48.6,-6.369028,34.888822
TZA,"Tanzania, United Republic of",Southern,Sub-Saharan Africa,0.284,0.29600000000000004,61.8,47.9,-6.369028,34.888822
TZA,"Tanzania, United Republic of",Southern Highlands,Sub-Saharan Africa,0.284,0.226,50.3,44.9,-9.166699999999999,34.5167
TZA,"Tanzania, United Republic of",Western,Sub-Saharan Africa,0.284,0.397,72.1,55.1,,
TZA,"Tanzania, United Republic of",Zanzibar,Sub-Saharan Africa,0.284,0.14300000000000002,30.5,46.9,-6.135729500000001,39.3621196
UGA,Uganda,Kampala,Sub-Saharan Africa,0.3670000000000001,0.076,17.3,43.9,0.3475964,32.5825197
UGA,Uganda,Central 1,Sub-Saharan Africa,0.3670000000000001,0.3,59.5,50.4,0.2540775,31.99280779999999
UGA,Uganda,Central 2,Sub-Saharan Africa,0.3670000000000001,0.294,61.0,48.3,0.3729261,32.6357573
UGA,Uganda,East Central,Sub-Saharan Africa,0.3670000000000001,0.371,74.7,49.7,0.2540775,31.99280779999999
UGA,Uganda,Eastern,Sub-Saharan Africa,0.3670000000000001,0.417,81.7,51.1,1.2692186,33.438353
UGA,Uganda,North,Sub-Saharan Africa,0.3670000000000001,0.431,78.0,55.2,2.8780034,32.7181375
UGA,Uganda,Karamoja,Sub-Saharan Africa,0.3670000000000001,0.634,96.5,65.7,2.8308738,34.1531947
UGA,Uganda,West Nile,Sub-Saharan Africa,0.3670000000000001,0.484,84.9,57.0,0.3157239,32.575568
UGA,Uganda,Western,Sub-Saharan Africa,0.3670000000000001,0.34600000000000003,67.9,50.9,0.2580521,30.5279096
UGA,Uganda,Southwest,Sub-Saharan Africa,0.3670000000000001,0.4,74.6,53.6,1.373333,32.290275
UZB,Uzbekistan,Western,Europe and Central Asia,0.008,0.006999999999999999,2.0,34.3,41.3069797,69.2833793
UZB,Uzbekistan,Central,Europe and Central Asia,0.008,0.011,3.2,36.0,41.377491,64.585262
UZB,Uzbekistan,Southern,Europe and Central Asia,0.008,0.016,4.1,38.6,41.377491,64.585262
UZB,Uzbekistan,Central-Eastern,Europe and Central Asia,0.008,0.004,1.1,34.7,,
UZB,Uzbekistan,Eastern,Europe and Central Asia,0.008,0.006,1.7,34.4,41.377491,64.585262
UZB,Uzbekistan,Tashkent,Europe and Central Asia,0.008,0.001,0.4,33.3,41.2994958,69.2400734
VNM,Viet Nam,Red River Delta,East Asia and the Pacific,0.029,0.013,3.8,34.8,22.4363415,103.8718572
VNM,Viet Nam,Northern Midlands and Mountain area,East Asia and the Pacific,0.029,0.064,14.4,44.7,,
VNM,Viet Nam,North Central and Central Coastal area,East Asia and the Pacific,0.029,0.024,6.3,38.8,17.9459438,105.9699878
VNM,Viet Nam,Central Highlands,East Asia and the Pacific,0.029,0.057,12.8,44.3,13.0635025,108.2377519
VNM,Viet Nam,South East,East Asia and the Pacific,0.029,0.017,4.4,39.1,11.2136337,106.912251
VNM,Viet Nam,Mekong River Delta,East Asia and the Pacific,0.029,0.03,7.5,39.7,10.063363,105.5943388
YEM,Yemen,Ibb,Arab States,0.236,0.2,41.9,47.7,13.9720929,44.1625338
YEM,Yemen,Abyan,Arab States,0.236,0.136,29.8,45.7,13.6343413,46.0563212
YEM,Yemen,Sanaa City,Arab States,0.236,0.057,14.3,39.6,15.3694451,44.1910066
YEM,Yemen,Al-Baidha,Arab States,0.236,0.191,38.0,50.3,13.9889146,45.5771002
YEM,Yemen,Taiz,Arab States,0.236,0.207,41.4,50.1,13.5775886,44.0177989
YEM,Yemen,Al-Jawf,Arab States,0.236,0.214,46.4,46.1,16.7901819,45.29938620000001
YEM,Yemen,Hajjah,Arab States,0.236,0.447,76.0,58.8,15.7030403,43.6039301
YEM,Yemen,Al-Hodiedah,Arab States,0.236,0.343,62.2,55.1,14.7909118,42.9708838
YEM,Yemen,Hadramout,Arab States,0.236,0.12,26.5,45.1,16.9304135,49.36531489999999
YEM,Yemen,Dhamar,Arab States,0.236,0.325,60.9,53.4,14.5455447,44.4087348
YEM,Yemen,Shabwah,Arab States,0.236,0.163,36.6,44.4,14.7546303,46.516262
YEM,Yemen,Sadah,Arab States,0.236,0.278,56.1,49.5,16.9509413,43.7477743
YEM,Yemen,Sanaa,Arab States,0.236,0.255,51.5,49.6,15.3694451,44.1910066
YEM,Yemen,Aden,Arab States,0.236,0.062,15.0,41.1,12.7854969,45.0186548
YEM,Yemen,Lahj,Arab States,0.236,0.17600000000000002,36.3,48.4,13.1489588,44.8505495
YEM,Yemen,Mareb,Arab States,0.236,0.214,45.9,46.7,15.4700312,45.3228575
YEM,Yemen,Al-Mhweit,Arab States,0.236,0.349,64.6,54.0,15.4687838,43.5462744
YEM,Yemen,Al-Mhrah,Arab States,0.236,0.105,21.6,48.8,16.5238423,51.6834275
YEM,Yemen,Amran,Arab States,0.236,0.322,60.2,53.6,16.2569214,43.9436788
YEM,Yemen,Aldhalae,Arab States,0.236,0.2,42.4,47.1,13.7032564,44.7334536
YEM,Yemen,Reimah,Arab States,0.236,0.381,72.4,52.6,14.883333,43.55
ZMB,Zambia,Central,Sub-Saharan Africa,0.281,0.292,59.9,48.8,-14.3112263,28.299435
ZMB,Zambia,Copperbelt,Sub-Saharan Africa,0.281,0.158,34.1,46.3,-13.0570073,27.5495846
ZMB,Zambia,Eastern,Sub-Saharan Africa,0.281,0.369,71.4,51.7,-13.8056187,31.99280779999999
ZMB,Zambia,Luapula,Sub-Saharan Africa,0.281,0.392,75.9,51.6,-11.564831,29.0459927
ZMB,Zambia,Lusaka,Sub-Saharan Africa,0.281,0.112,26.0,42.9,-15.3875259,28.3228165
ZMB,Zambia,Muchinga,Sub-Saharan Africa,0.281,0.368,72.0,51.2,-15.3780734,28.2579161
ZMB,Zambia,Northern,Sub-Saharan Africa,0.281,0.397,75.6,52.6,-9.7670177,30.8958242
ZMB,Zambia,North Western,Sub-Saharan Africa,0.281,0.334,67.3,49.7,-13.0050258,24.9042208
ZMB,Zambia,Southern,Sub-Saharan Africa,0.281,0.301,62.1,48.5,-16.9620634,26.419389
ZMB,Zambia,Western,Sub-Saharan Africa,0.281,0.399,76.2,52.3,-15.9454906,23.3823545
ZWE,Zimbabwe,Bulawayo,Sub-Saharan Africa,0.152,0.014,3.8,36.8,-20.1325066,28.626479
ZWE,Zimbabwe,Harare,Sub-Saharan Africa,0.152,0.038,9.6,39.8,-17.8251657,31.03351
ZWE,Zimbabwe,Manicaland,Sub-Saharan Africa,0.152,0.168,39.1,42.9,-18.9216386,32.174605
ZWE,Zimbabwe,Mashonaland Central,Sub-Saharan Africa,0.152,0.21,48.0,43.8,-16.7644295,31.0793705
ZWE,Zimbabwe,Mashonaland East,Sub-Saharan Africa,0.152,0.14,33.5,41.9,-18.5871642,31.2626366
ZWE,Zimbabwe,Mashonaland West,Sub-Saharan Africa,0.152,0.192,43.7,44.1,-17.4851029,29.7889248
ZWE,Zimbabwe,Masvingo,Sub-Saharan Africa,0.152,0.174,38.9,44.7,-20.0791909,30.8384093
ZWE,Zimbabwe,Matabeleland North,Sub-Saharan Africa,0.152,0.238,53.4,44.5,-18.5331566,27.5495846
ZWE,Zimbabwe,Matabeleland South,Sub-Saharan Africa,0.152,0.16399999999999998,38.2,42.8,-21.052337,29.0459927
ZWE,Zimbabwe,Midlands,Sub-Saharan Africa,0.152,0.17600000000000002,40.5,43.5,-19.0552009,29.6035495
